chr1	1116088	1116089	-	C1orf159	11.69336685
chr1	1232000	1232001	-	SDF4	42.88783645
chr1	1273842	1273843	-	UBE2J2	71.67525455
chr1	1307903	1307904	-	ACAP3	59.574437
chr1	1399563	1399564	+	MRPL20	124.586595
chr1	1407292	1407293	-	MRPL20	124.586595
chr1	1512161	1512162	+	ATAD3A	62.694633
chr1	1574631	1574632	-	SSU72	118.128831
chr1	1574842	1574843	-	SSU72	118.128831
chr1	1778441	1778442	-	NADK	94.351496
chr1	1778841	1778842	-	NADK	94.351496
chr1	1780030	1780031	-	NADK	94.351496
chr1	3857460	3857461	+	DFFB	9.72357395
chr1	5992424	5992425	-	NPHP4	5.1559541
chr1	5992705	5992706	+	KCNAB2	62.9218028
chr1	6026335	6026336	+	KCNAB2	62.9218028
chr1	6235963	6235964	-	ICMT	17.18404
chr1	6393376	6393377	-	ACOT7	70.68035315
chr1	6393766	6393767	-	ACOT7	70.68035315
chr1	6785453	6785454	+	CAMTA1	52.170449625
chr1	9069654	9069655	-	SLC2A5	54.288110511055
chr1	9539488	9539489	+	SLC25A33	10.69245
chr1	9588910	9588911	+	TMEM201	13.3138043
chr1	9823959	9823960	-	CLSTN1	61.4522105
chr1	9910247	9910248	-	CTNNBIP1	2.187178
chr1	10399068	10399069	+	PGD	92.3313726
chr1	10430432	10430433	+	CENPS	20.77184655
chr1	10430772	10430773	+	CENPS	20.77184655
chr1	10472489	10472490	-	DFFA	21.249895
chr1	11060014	11060015	-	SRM	110.31187
chr1	11273225	11273226	+	UBIAD1	10.8955535
chr1	11273496	11273497	+	UBIAD1	10.8955535
chr1	11736141	11736142	+	AGTRAP	6.2745214
chr1	11934716	11934717	+	PLOD1	11.6712576
chr1	11980304	11980305	+	MFN2	51.48933965
chr1	15409929	15409930	+	EFHD2	25.9851495
chr1	15524232	15524233	-	CASP9	15.1121168
chr1	15526868	15526869	+	DNAJC16	5.608563
chr1	15617457	15617458	+	DDI2	12.65981415
chr1	15976100	15976101	-	ZBTB17	18.1528928
chr1	16352453	16352454	-	FBXO42	5.43447575
chr1	16367233	16367234	+	SZRD1	88.173523
chr1	16440741	16440742	+	NECAP2	24.173186
chr1	17438535	17438536	-	RCC2	119.89717
chr1	17439708	17439709	-	RCC2	119.89717
chr1	19210394	19210395	+	EMC1	25.29110978
chr1	19251523	19251524	-	EMC1	25.29110978
chr1	19251807	19251808	+	MRTO4	58.729219
chr1	19312109	19312110	-	AKR7A2	24.6235324
chr1	19485510	19485511	-	CAPZB	85.2137558
chr1	19597014	19597015	+	MICOS10	152.6076694
chr1	19608078	19608079	+	MICOS10	152.6076694
chr1	20508150	20508151	-	MUL1	7.50389
chr1	21294412	21294413	-	ECE1	6.11789168570594
chr1	22025510	22025511	+	LINC00339	6.863621
chr1	23019492	23019493	+	KDM1A	49.7378258
chr1	23559500	23559501	-	ID3	225.984085
chr1	23800754	23800755	-	GALE	14.0259108
chr1	25338333	25338334	+	TMEM50A	50.640011
chr1	25430869	25430870	+	MACO1	7.910719
chr1	25543605	25543606	+	LDLRAP1	10.14150095
chr1	25543649	25543650	+	LDLRAP1	10.14150095
chr1	25800192	25800193	+	SELENON	1.9022568
chr1	25859456	25859457	-	AUNIP	7.241575
chr1	26169907	26169908	+	ZNF593	46.8874725
chr1	26306635	26306636	-	UBXN11	18.2239045
chr1	26472505	26472506	+	HMGN2	237.8723635
chr1	26529760	26529761	+	RPS6KA1	68.38845875
chr1	26545844	26545845	+	RPS6KA1	68.38845875
chr1	26826724	26826725	+	ZDHHC18	12.2620914
chr1	26921755	26921756	+	NUDC	131.93806
chr1	27342021	27342022	+	SYTL1	11.90725175
chr1	27345518	27345519	+	SYTL1	11.90725175
chr1	28176635	28176636	-	PTAFR	3.80931325
chr1	28233025	28233026	-	DNAJC8	81.283728
chr1	28506043	28506044	+	RCC1	117.19199425
chr1	28506570	28506571	+	RCC1	117.19199425
chr1	28518251	28518252	+	RCC1	117.19199425
chr1	28643062	28643063	-	TAF12	18.3242009
chr1	28668781	28668782	+	GMEB1	7.0111125
chr1	28887102	28887103	+	EPB41	39.661304697
chr1	28914568	28914569	+	EPB41	39.661304697
chr1	31296760	31296761	-	SNRNP40	49.8030195
chr1	31297031	31297032	+	ZCCHC17	19.72487695
